,INSTNM,CITY,STABBR,WOMENONLY,HBCU,ADM_RATE,SAT_AVG,ACTCMMID,FEMALE,FIRST_GEN,FAMINC,AVGFACSAL,PFTFAC,PCTPELL,DEBT_MDN_SUPP,C150_4_POOLED,D150_4_WHITE,D150_4_BLACK,D150_4_HISP,D150_4_ASIAN,D150_4_AIAN,D150_4_NHPI,D150_4_2MOR,D150_4_NRA,D150_4_UNKN,RET_FT4_POOLED,TRANS_4_POOLED_SUPP,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COMPL_RPY_3YR_RT,FIRSTGEN_RPY_3YR_RT,NET_PRICE
1693,University of Wisconsin-Whitewater,Whitewater,WI,0,0,0.69691741,-0.086374752,-0.086332386,-0.575338435,-0.372473348,0.741130351,0.036444613,0.584786933,-0.619578639,0.453198282,0.430205884,1.037829117,0.043721516,-0.113812137,-0.073144507,-0.101775684,0.227124206,0.624354874,-0.136673892,-0.045156511,0.533998941,-0.694549497,1.023244783,-0.526378062,-0.379246768,-0.39468108,-0.212276723,-0.124919505,0.93839445,-0.460416815,-0.651771706,0.695771523,0.833402487,0.090673465
1694,University of Wisconsin-Eau Claire,Eau Claire,WI,0,0,0.929846854,0.356849882,0.199523737,0.286118711,-1.025371167,1.010062295,0.060402108,0.871910332,-0.797475691,0.169325285,0.795971848,1.195616966,-0.197348298,-0.228359231,0.132771925,0.072915265,-0.130669156,0.287248982,-0.136673892,-0.030136979,0.56497586,-0.694549497,1.306825131,-0.702968726,-0.577404082,-0.088399836,-0.180007719,-0.113878847,-0.362800497,-0.335820557,-0.649287735,0.936567107,1.141436841,0.399127493
1695,University of Wisconsin-Green Bay,Green Bay,WI,0,0,0.905067126,0.061366793,-0.086332386,0.78560942,0.080096972,0.138324831,-0.189730376,0.210526581,-0.603307567,-0.323472024,-0.080621713,0.38974004,-0.188963261,-0.266541596,-0.035705156,0.037977075,-0.130669156,0.072727051,-0.119503494,-0.059174741,0.241447602,-0.694549497,1.167952451,-0.666537414,-0.467709855,-0.164180762,0.211253952,-0.095477751,-0.148486035,-0.357058556,-0.643077808,0.538661269,0.955968308,0.089483441
1696,University of Wisconsin-La Crosse,La Crosse,WI,0,0,0.672137682,0.504591427,0.48537986,-0.083113297,-1.099432839,1.099132947,-0.13003967,0.884409485,-1.022558852,0.406403896,0.888370842,0.995930648,-0.188963261,-0.129085083,-0.010745588,-0.031899305,-0.130669156,0.900168785,0.481460429,-0.050163021,0.823424426,-0.694549497,1.322385095,-0.708534621,-0.520787707,-0.288903537,-0.208243097,-0.124919505,-0.205891694,-0.372633088,-0.654255677,1.142474446,1.375457395,0.372708977
1697,Wisconsin Lutheran College,Milwaukee,WI,0,0,1.258426049,0.290366187,0.199523737,-0.265472734,-0.461453909,0.710199569,-0.426462906,1.136178138,-0.50893535,0.476886726,0.578618775,-0.280635457,-0.195252039,-0.300905724,-0.279060938,-0.171652064,-0.130669156,-0.20308686,-0.30837787,-0.065182554,0.01563406,-0.694549497,1.069146678,-0.48994675,-0.404606186,-0.478355852,-0.167906843,-0.143320602,-0.217372826,-0.355642689,-0.494039546,1.362618169,1.022932959,-0.333646877
1698,University of Wisconsin-Oshkosh,Oshkosh,WI,0,0,0.745981272,-0.234116296,-0.372188509,0.142401753,-0.161619586,0.49182288,-0.025682448,0.260880312,-0.875034467,0.016418319,0.133858853,1.060115536,-0.115594187,-0.18635863,0.020453871,0.177729835,-0.059110483,0.593708884,-0.222525881,-0.055169532,0.351459668,-0.694549497,1.201406374,-0.631118083,-0.499556566,-0.044194296,0.001505427,-0.128599725,-0.244162134,-0.481654813,-0.649287735,0.972935606,0.978037985,0.257276721
1699,University of Wisconsin-Parkside,Kenosha,WI,0,0,0.750937218,-0.67734093,-0.658044633,-0.167907776,0.645553735,-0.066430218,-0.357432838,0.378729468,0.122382239,-0.658993596,-0.860028767,0.059009575,-0.035936335,-0.010719753,-0.210422128,-0.101775684,0.012448189,0.317894972,-0.222525881,-0.049161719,0.094414032,-0.694549497,0.497706992,-0.300706324,0.076633004,-0.161023224,-0.212276723,-0.080756873,0.394954208,-0.315998425,-0.638109865,-0.034039287,0.010572029,-0.673559471
1700,University of Wisconsin-Stout,Menomonie,WI,0,0,1.318888585,-0.234116296,-0.372188509,-0.840191464,-0.495164347,0.757367379,-0.162524408,0.207669632,-0.629341282,0.306213426,0.255940425,0.806050355,-0.197348298,-0.255086886,-0.041945048,-0.066837495,-0.059110483,0.348540963,-0.188185085,-0.047159115,0.220358979,-0.694549497,1.232915301,-0.669067367,-0.565609004,-0.097872452,-0.175974093,-0.09915797,-0.393416848,-0.1942339,-0.635625894,1.030562766,1.193494448,0.457438633
1701,University of Wisconsin-Superior,Superior,WI,0,0,1.367952447,-0.529599386,-0.658044633,0.560617612,-0.266486824,-0.112648323,-0.358651015,0.552289135,0.051874261,-0.27493013,-0.388458774,-0.172769187,-0.207829595,-0.31617867,-0.272821047,0.072915265,-0.130669156,-0.049856909,0.292586053,-0.062178647,-0.158147501,-0.694549497,0.980454882,-0.63921393,-0.579173344,-0.490986007,0.501674985,-0.095477751,0.161504526,0.56467058,-0.620722068,-0.030394056,0.072477402,-0.262525438
1702,University of Wisconsin-Madison,Madison,WI,0,0,-0.437498541,1.760394556,1.628804353,-0.510216805,-1.555289174,1.787697646,1.669208769,0.657996257,-1.431505126,0.71532451,1.652457856,3.47952923,0.073069146,0.688017519,1.711464566,0.422297164,0.298682879,4.148643741,4.361970331,0.044960682,1.512972922,-0.694549497,0.799181299,-0.643261854,-0.431734866,0.214723869,-0.196142221,-0.095477751,0.042866163,0.543432581,-0.62569001,1.212235069,1.571775585,1.345195983
